Provider_Number,Provider_Number,Readm_rate
10001,10001,"1.016814051"
10005,10005,"0.951875861"
10006,10006,"0.903099104"
10007,10007,"0"
10008,10008,"0"
10016,10016,"1.060057569"
10021,10021,"0"
10022,10022,"0"
10023,10023,"1.091318554"
10032,10032,"0"
10035,10035,"0.936986266"
10036,10036,"0"
10038,10038,"1.054177899"
10039,10039,"0.989228516"
10040,10040,"1.002298958"
10045,10045,"0"
10046,10046,"1.100342771"
10049,10049,"0"
10052,10052,"0"
10055,10055,"1.022929641"
10058,10058,"0"
10059,10059,"0"
10061,10061,"0"
10062,10062,"0"
10069,10069,"0"
10073,10073,"0"
10079,10079,"0"
10083,10083,"1.00455863"
10086,10086,"0"
10089,10089,"0.985780945"
10090,10090,"0.964869234"
10095,10095,"0"
10097,10097,"0"
10100,10100,"1.059621493"
10101,10101,"0"
10108,10108,"0"
10109,10109,"0"
10120,10120,"0"
10125,10125,"0"
10126,10126,"0"
10128,10128,"0"
10129,10129,"0"
10131,10131,"1.134519722"
10144,10144,"1.10301291"
10148,10148,"0"
10149,10149,"0.971936616"
10157,10157,"0"
10158,10158,"1.072397166"
10164,10164,"0.998567371"
10168,10168,"0"
10169,10169,"0"
20001,20001,"0.894039371"
20008,20008,"0"
20017,20017,"0.955426987"
20024,20024,"0"
20026,20026,"1.031802933"
30006,30006,"0.960857075"
30007,30007,"0.966841087"
30013,30013,"1.013930693"
30023,30023,"0.929130121"
30033,30033,"0"
30036,30036,"1.059743846"
30055,30055,"0.892634163"
30061,30061,"1.036360993"
30062,30062,"0.936183506"
30065,30065,"0.976007677"
30069,30069,"0.920732486"
30071,30071,"0"
30078,30078,"0"
30084,30084,"0"
30088,30088,"0.984385674"
30089,30089,"1.133483222"
30094,30094,"0.928552614"
30103,30103,"0.914277912"
30105,30105,"0.948148901"
30114,30114,"0.967529855"
30115,30115,"1.06601556"
30117,30117,"0.972743305"
30119,30119,"0.94887622"
30120,30120,"0"
30122,30122,"0"
40001,40001,"0"
40002,40002,"0"
40010,40010,"0.978329637"
40011,40011,"1.060169474"
40015,40015,"0"
40017,40017,"1.002580437"
40027,40027,"1.095816339"
40029,40029,"0.902681642"
40039,40039,"1.143380845"
40047,40047,"0"
40050,40050,"0"
40051,40051,"0"
40055,40055,"1.054787449"
40071,40071,"0.962537103"
40074,40074,"0"
40078,40078,"1.034404541"
40084,40084,"1.045546755"
40085,40085,"0"
40118,40118,"0.982079875"
40119,40119,"1.144536477"
40134,40134,"0.951664145"
50009,50009,"0.982936093"
50014,50014,"0"
50017,50017,"0.975326648"
50018,50018,"0"
50022,50022,"1.058692328"
50028,50028,"0"
50030,50030,"1.079058231"
50036,50036,"1.082635742"
50038,50038,"0.99636779"
50039,50039,"1.074442632"
50045,50045,"1.007555385"
50054,50054,"0.973059048"
50060,50060,"1.065454801"
50063,50063,"1.103039813"
50089,50089,"0"
50090,50090,"0"
50091,50091,"0"
50093,50093,"0.93892765"
50100,50100,"1.015732447"
50101,50101,"0.973625455"
50102,50102,"0"
50103,50103,"1.060431487"
50104,50104,"0.997060885"
50107,50107,"0.938823498"
50108,50108,"0.91359813"
50110,50110,"0"
50113,50113,"0"
50115,50115,"0.934921401"
50116,50116,"0.950714193"
50118,50118,"1.058748887"
50122,50122,"0.992695223"
50124,50124,"0.991634831"
50125,50125,"1.056393229"
50126,50126,"0.99976725"
50128,50128,"0.938333595"
50131,50131,"0"
50132,50132,"1.012898485"
50133,50133,"1.050816799"
50136,50136,"0.973911793"
50145,50145,"0.866761799"
50152,50152,"0"
50153,50153,"1.027565927"
50158,50158,"0.976932587"
50159,50159,"0"
50167,50167,"0"
50174,50174,"0.822489833"
50192,50192,"0"
50194,50194,"0.991725178"
50195,50195,"1.152018828"
50197,50197,"0.913648702"
50204,50204,"1.053534673"
50211,50211,"1.020797352"
50222,50222,"0.962347469"
50231,50231,"0.923500583"
50232,50232,"0.890043303"
50239,50239,"1.090220472"
50242,50242,"0.888074448"
50243,50243,"1.117954863"
50245,50245,"0.985242798"
50248,50248,"0"
50261,50261,"1.108246973"
50262,50262,"1.135735241"
50272,50272,"0.970325535"
50276,50276,"0"
50278,50278,"1.016917828"
50279,50279,"0"
50280,50280,"0.86178928"
50281,50281,"0.987026908"
50289,50289,"1.068620663"
50290,50290,"0.927282908"
50296,50296,"0"
50298,50298,"0"
50309,50309,"0.794294903"
50313,50313,"0"
50324,50324,"0.894385821"
50327,50327,"0.915438593"
50329,50329,"1.020896259"
50334,50334,"0.939589044"
50335,50335,"1.005232772"
50336,50336,"0.970060419"
50350,50350,"1.136853696"
50351,50351,"1.022406514"
50352,50352,"0"
50357,50357,"0"
50359,50359,"1.053550445"
50360,50360,"0.883715663"
50367,50367,"1.00733268"
50378,50378,"0"
50390,50390,"0.890284825"
50396,50396,"0.912785217"
50397,50397,"0"
50407,50407,"0"
50414,50414,"1.009454328"
50417,50417,"0.954489576"
50423,50423,"0"
50424,50424,"0.942242303"
50426,50426,"0.941348778"
50441,50441,"0.912929874"
50455,50455,"1.05194474"
50468,50468,"1.024008848"
50481,50481,"1.006837933"
50485,50485,"1.133621856"
50488,50488,"1.059288074"
50492,50492,"0.969587384"
50498,50498,"0.94513223"
50502,50502,"1.088366738"
50506,50506,"1.031715624"
50516,50516,"1.004608389"
50517,50517,"0"
50523,50523,"1.040926319"
50526,50526,"1.001705602"
50528,50528,"0"
50537,50537,"0"
50551,50551,"1.061290567"
50552,50552,"0"
50568,50568,"1.004272932"
50573,50573,"0.927729652"
50580,50580,"0.99768615"
50581,50581,"1.056580997"
50586,50586,"0"
50588,50588,"0"
50590,50590,"1.005200652"
50597,50597,"1.037593606"
50599,50599,"1.078119492"
50608,50608,"0"
50618,50618,"0"
50624,50624,"0.916898873"
50625,50625,"0.971850323"
50633,50633,"1.040769411"
50636,50636,"0.962992555"
50641,50641,"1.050734804"
50663,50663,"1.042099972"
50678,50678,"1.017835854"
50688,50688,"1.031686271"
50696,50696,"0.994555232"
50709,50709,"0.994442227"
50724,50724,"0.970309543"
50727,50727,"1.020261802"
50735,50735,"0.961543712"
50736,50736,"0"
50737,50737,"0.987389484"
50738,50738,"0"
50739,50739,"1.171173989"
50740,50740,"1.002273793"
50742,50742,"1.135045408"
50755,50755,"1.089250666"
50757,50757,"1.012763274"
50758,50758,"1.015012324"
50761,50761,"0.94943577"
50764,50764,"1.054543437"
60001,60001,"0.956530683"
60003,60003,"0.969672059"
60004,60004,"0.942716188"
60006,60006,"0.985953985"
60008,60008,"0"
60010,60010,"0.997817381"
60013,60013,"0.912537181"
60027,60027,"0.96269735"
60030,60030,"0.900428791"
60032,60032,"1.022387902"
60034,60034,"0.96109881"
60036,60036,"0.955191405"
60043,60043,"0"
60044,60044,"0"
60049,60049,"0"
60065,60065,"0.932814628"
60071,60071,"0"
60076,60076,"0"
60112,60112,"0.986462451"
60114,60114,"0.978190534"
60119,60119,"0.959896762"
70003,70003,"0.907571579"
70004,70004,"0.985239721"
70005,70005,"1.066648884"
70006,70006,"0.861119253"
70007,70007,"1.02385562"
70008,70008,"0"
70010,70010,"0.971705211"
70011,70011,"1.106810342"
70015,70015,"0.978780067"
70017,70017,"1.12573452"
70020,70020,"0.890383462"
70022,70022,"1.082829678"
70025,70025,"1.032695887"
70027,70027,"0.994201837"
70029,70029,"1.015119634"
70031,70031,"1.065475124"
70033,70033,"1.027733137"
80006,80006,"0.906498884"
100009,100009,"1.108229264"
100012,100012,"1.082193977"
100022,100022,"1.076494377"
100023,100023,"0.838379842"
100025,100025,"0.933586814"
100028,100028,"0.953456097"
100029,100029,"0.985992068"
100034,100034,"1.004800366"
100035,100035,"0.974340931"
100038,100038,"1.065379468"
100039,100039,"0.947201087"
100044,100044,"1.054041062"
100045,100045,"1.044076782"
100046,100046,"1.102557674"
100048,100048,"0"
100049,100049,"1.024261561"
100050,100050,"1.006557637"
100051,100051,"0.949409785"
100052,100052,"1.016878597"
100053,100053,"1.117540694"
100054,100054,"0"
100055,100055,"0.974718088"
100057,100057,"1.150179883"
100062,100062,"0.867221815"
100063,100063,"0.915840489"
100068,100068,"0.964530893"
100069,100069,"0"
100072,100072,"0.987163968"
100080,100080,"1.091639655"
100081,100081,"0"
100084,100084,"1.107570232"
100087,100087,"0.801514383"
100093,100093,"1.027931745"
100099,100099,"1.073095496"
100102,100102,"1.112899832"
100107,100107,"1.00232704"
100109,100109,"0.968995704"
100110,100110,"1.051057193"
100118,100118,"1.101958025"
100121,100121,"0"
100122,100122,"1.058303826"
100124,100124,"0"
100125,100125,"1.054895351"
100126,100126,"1.030134113"
100127,100127,"0.920746794"
100128,100128,"1.033444751"
100130,100130,"1.00073537"
100131,100131,"1.111558181"
100132,100132,"1.000782068"
100137,100137,"1.113848409"
100150,100150,"0"
100156,100156,"1.04742381"
100157,100157,"1.047061893"
100161,100161,"0.980327471"
100166,100166,"0.933272385"
100167,100167,"1.02406642"
100168,100168,"1.024019253"
100173,100173,"1.081103248"
100176,100176,"0.96997556"
100181,100181,"0.989279527"
100183,100183,"1.045543842"
100187,100187,"1.150994612"
100191,100191,"1.036000073"
100200,100200,"1.058081155"
100204,100204,"1.085328497"
100206,100206,"0"
100209,100209,"1.113536347"
100212,100212,"1.017538635"
100213,100213,"1.003197579"
100217,100217,"1.053971244"
100223,100223,"1.022726011"
100224,100224,"1.003789391"
100226,100226,"0.945694993"
100228,100228,"1.081035609"
100230,100230,"0"
100231,100231,"1.002106069"
100232,100232,"0.960900317"
100236,100236,"0.973904324"
100242,100242,"1.069689005"
100243,100243,"0.955391296"
100244,100244,"1.130431814"
100248,100248,"1.058800211"
100249,100249,"0.866157215"
100252,100252,"1.110743435"
100253,100253,"0.852192108"
100254,100254,"1.106749957"
100256,100256,"1.045542175"
100258,100258,"0.977637512"
100259,100259,"1.055978842"
100264,100264,"1.116387106"
100265,100265,"0.921434021"
100266,100266,"0.964567487"
100267,100267,"1.034621196"
100269,100269,"0.977720382"
100275,100275,"1.014916703"
100276,100276,"0.982156598"
100281,100281,"1.029091321"
100284,100284,"1.022819606"
100285,100285,"0"
100291,100291,"1.031348153"
100292,100292,"0.947940853"
110001,110001,"0.912865109"
110002,110002,"0"
110007,110007,"0.970815553"
110010,110010,"1.01067218"
110015,110015,"0"
110023,110023,"1.062351662"
110024,110024,"1.061922254"
110026,110026,"0"
110028,110028,"0.997011234"
110030,110030,"0.978065713"
110032,110032,"1.018871654"
110035,110035,"0.971518607"
110039,110039,"1.042743208"
110040,110040,"0.986940525"
110044,110044,"0"
110045,110045,"0"
110050,110050,"0"
110051,110051,"0.942729133"
110054,110054,"0.90394783"
110069,110069,"1.119832447"
110071,110071,"0"
110073,110073,"0"
110074,110074,"0.88009175"
110075,110075,"0.983090306"
110078,110078,"0.973420376"
110079,110079,"1.012873333"
110089,110089,"0"
110091,110091,"1.002129389"
110092,110092,"0"
110095,110095,"1.033756191"
110100,110100,"0"
110104,110104,"0.986122172"
110105,110105,"0"
110113,110113,"0"
110122,110122,"0.865841971"
110124,110124,"0"
110125,110125,"0.942818936"
110128,110128,"1.041652526"
110130,110130,"0"
110132,110132,"0"
110135,110135,"0"
110142,110142,"0"
110143,110143,"1.022288965"
110150,110150,"0"
110153,110153,"0"
110164,110164,"0.961629421"
110165,110165,"0.963566387"
110168,110168,"0.893891502"
110184,110184,"1.001986654"
110187,110187,"0"
110189,110189,"0"
110191,110191,"1.002792608"
110201,110201,"0"
110215,110215,"1.035428145"
110230,110230,"0.933502813"
120002,120002,"0.948115996"
120004,120004,"1.060792619"
120006,120006,"0.984088346"
120007,120007,"0.93968403"
120014,120014,"1.017011027"
120022,120022,"0.960506839"
120026,120026,"1.088341068"
130013,130013,"0.988530713"
130014,130014,"0.976978294"
130018,130018,"0.900881986"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130025,130025,"0"
130028,130028,"0.84018251"
130049,130049,"0.853139884"
140002,140002,"0.881620403"
140007,140007,"1.178201261"
140008,140008,"0.952032005"
140010,140010,"1.015715042"
140011,140011,"0.990704912"
140012,140012,"1.047996823"
140015,140015,"1.04649288"
140019,140019,"0"
140040,140040,"1.037116637"
140043,140043,"0.995255727"
140048,140048,"1.067135167"
140049,140049,"1.045080917"
140051,140051,"1.007207958"
140058,140058,"0"
140059,140059,"0.970766314"
140062,140062,"1.0469939"
140063,140063,"1.065369417"
140065,140065,"1.045361429"
140068,140068,"1.015818388"
140080,140080,"1.080978665"
140083,140083,"0"
140084,140084,"0.971211139"
140088,140088,"1.052395744"
140093,140093,"0.993489322"
140113,140113,"1.069798513"
140114,140114,"0.988268936"
140115,140115,"0"
140117,140117,"0.987356359"
140118,140118,"1.087946759"
140119,140119,"0.945341918"
140125,140125,"1.0719576"
140135,140135,"0.991015087"
140147,140147,"1.002856883"
140160,140160,"0.993032325"
140164,140164,"0.974910534"
140167,140167,"0.997427248"
140174,140174,"1.059070252"
140177,140177,"0"
140179,140179,"1.092526268"
140181,140181,"0"
140182,140182,"1.085960035"
140184,140184,"1.056133381"
140186,140186,"0.944083155"
140189,140189,"1.071219949"
140191,140191,"1.212588467"
140197,140197,"0"
140200,140200,"1.046651047"
140202,140202,"0.950699641"
140210,140210,"0"
140223,140223,"1.023403059"
140231,140231,"0.930160175"
140239,140239,"0.967044331"
140242,140242,"0.995985522"
140250,140250,"1.070696144"
140252,140252,"1.150783106"
140258,140258,"1.003508754"
140280,140280,"1.008532892"
140281,140281,"1.072366798"
140288,140288,"0.979158602"
140289,140289,"0.997428384"
140291,140291,"1.004913435"
140294,140294,"0"
140304,140304,"1.066546403"
160008,160008,"0.966260303"
160024,160024,"0.929549476"
160030,160030,"0.952300341"
160032,160032,"0"
160040,160040,"0"
160067,160067,"0.937836678"
160082,160082,"0.833226006"
160089,160089,"1.04277823"
160122,160122,"1.084692638"
160147,160147,"0"
170009,170009,"0"
170012,170012,"0.938970878"
170013,170013,"0.751209505"
170014,170014,"0"
170027,170027,"0"
170039,170039,"0"
170049,170049,"1.032977195"
170068,170068,"0"
170074,170074,"0"
170094,170094,"0"
170104,170104,"1.069613373"
170109,170109,"0"
170110,170110,"0"
170120,170120,"0"
170123,170123,"0.936624917"
170145,170145,"0"
170146,170146,"0.988287036"
170166,170166,"0"
170175,170175,"0.969150301"
170182,170182,"1.02512173"
170185,170185,"0.979663923"
170186,170186,"0.818699462"
170191,170191,"0"
180002,180002,"0"
180012,180012,"1.010421461"
180019,180019,"0.988391083"
180021,180021,"0"
180024,180024,"0"
180027,180027,"1.114860826"
180029,180029,"1.220849641"
180036,180036,"1.087547696"
180038,180038,"0.984280295"
180044,180044,"1.108289799"
180046,180046,"0"
180048,180048,"0.944790137"
180049,180049,"1.017169754"
180051,180051,"1.040028512"
180053,180053,"0"
180064,180064,"0"
180066,180066,"0"
180070,180070,"0"
180079,180079,"0"
180080,180080,"1.037950445"
180092,180092,"0.963490731"
180093,180093,"0.969754406"
180101,180101,"0"
180102,180102,"0.974645514"
180103,180103,"1.004088353"
180104,180104,"1.052842117"
180105,180105,"0"
180116,180116,"1.04067816"
180127,180127,"1.000001994"
180128,180128,"0"
180130,180130,"0.951453395"
180132,180132,"1.082366536"
180138,180138,"0"
180139,180139,"0"
180141,180141,"1.007285721"
180143,180143,"1.052416683"
190002,190002,"1.107735257"
190004,190004,"1.056337974"
190007,190007,"0"
190008,190008,"0.987860951"
190013,190013,"0.996470403"
190020,190020,"1.008716383"
190025,190025,"0"
190026,190026,"1.031472663"
190034,190034,"0"
190039,190039,"1.086210793"
190046,190046,"1.011927056"
190050,190050,"0"
190053,190053,"1.025286247"
190060,190060,"1.014715869"
190064,190064,"0.899131347"
190081,190081,"0"
190086,190086,"0.977564401"
190090,190090,"0"
190099,190099,"0"
190106,190106,"0"
190116,190116,"0"
190133,190133,"0"
190140,190140,"0"
190144,190144,"0.989985611"
190145,190145,"0"
190146,190146,"0.875032142"
190151,190151,"0"
190160,190160,"1.123683949"
190164,190164,"0"
190176,190176,"1.039216373"
190190,190190,"0"
190202,190202,"0.927385246"
190208,190208,"0"
190218,190218,"0"
190263,190263,"0.937288249"
200009,200009,"0.830110304"
200020,200020,"0.969430277"
200021,200021,"1.011529039"
200024,200024,"0.919507154"
200031,200031,"1.006035561"
200033,200033,"0.878370894"
200037,200037,"1.031628074"
200041,200041,"0.93835278"
200050,200050,"0.971129083"
200052,200052,"0"
210002,210002,"1.121162655"
210005,210005,"0.992757969"
210011,210011,"0.892358658"
210012,210012,"1.014243702"
210013,210013,"0"
210017,210017,"0.980941672"
210018,210018,"1.100226767"
210019,210019,"0.907152605"
210023,210023,"1.085126866"
210024,210024,"0.993182903"
210027,210027,"1.024430282"
210029,210029,"1.095660414"
210033,210033,"1.013676991"
210034,210034,"0.966719123"
210039,210039,"0.973990098"
210048,210048,"0.956112524"
210056,210056,"1.114358829"
210061,210061,"1.096104806"
220002,220002,"1.008457797"
220008,220008,"0.99366086"
220010,220010,"1.116666122"
220012,220012,"0.960933711"
220016,220016,"1.093159585"
220019,220019,"0.959521392"
220020,220020,"1.033830715"
220024,220024,"0.937882097"
220029,220029,"1.077088346"
220050,220050,"0"
220052,220052,"0.946183336"
220071,220071,"1.054442191"
220073,220073,"0.98715516"
220077,220077,"0.876708523"
220080,220080,"1.059931343"
220083,220083,"0.969613428"
220086,220086,"1.16691954"
220088,220088,"0"
220090,220090,"1.024831157"
220095,220095,"0.994752739"
220098,220098,"0"
220101,220101,"0.931367411"
220105,220105,"1.076258829"
220110,220110,"1.139506387"
220116,220116,"1.170645929"
220119,220119,"0.996196089"
220126,220126,"1.121237064"
220135,220135,"0.940641675"
220177,220177,"0"
230013,230013,"0"
230017,230017,"0.916187026"
230022,230022,"0.959301602"
230037,230037,"0.90200481"
230041,230041,"1.091061598"
230053,230053,"1.147460761"
230069,230069,"0"
230080,230080,"1.065011717"
230085,230085,"0"
230093,230093,"0"
230095,230095,"0.945578525"
230097,230097,"0.938325008"
230117,230117,"0.903823672"
230118,230118,"0.993514806"
230121,230121,"0.98891792"
230132,230132,"1.03385295"
230133,230133,"0"
230141,230141,"1.004071072"
230146,230146,"0.977168033"
230174,230174,"0"
230193,230193,"0.905279231"
230207,230207,"0.971276952"
230217,230217,"0.956967553"
230227,230227,"1.115077448"
230236,230236,"0.958235714"
230244,230244,"1.181906445"
